year,model,terrain,engine_capacity,mpg,exterior_color,interior_color,gear_type,type_of_car,number_of_keys,price,miles
2020 TOYOTA,COROLLA HATCHBACK,XSE Hatchback 4D,"4-Cyl, Dynamic-Force, 2.0 Liter",30 City / 38 Hwy,Black,Black,"Automatic, CVT W/Dynamic Shift",4 Door Hatchback,2,"$22,990 ","10,265 miles"
2014 BMW,X1,sDrive28i Sport Utility 4D,"4-Cyl, Twin Turbo, 2.0L",23 City / 34 Hwy,White,Beige,"Auto, 8-Spd Steptronic",4 Door SUV,2,"$15,990 ","61,595 miles"
2013 TOYOTA,HIGHLANDER,SE Sport Utility 4D,"V6, 3.5 Liter",18 City / 24 Hwy,Gray,Gray,"Automatic, 5-Spd W/Sequential Mode",4 Door SUV,1,"$18,590 ","61,408 miles"
2019 KIA,SORENTO,EX Sport Utility 4D,"V6, GDI, 3.3 Liter",19 City / 26 Hwy,Silver,Black,"Automatic, 8-Spd",4 Door SUV,1,"$25,590 ","23,274 miles"
2018 MAZDA,MX-5 MIATA,Grand Touring Convertible 2D,"4-Cyl, 2.0 Liter",26 City / 33 Hwy,White,Black,"Manual, 6-Spd",2 Door Convertible,2,"$23,990 ","20,387 miles"
2015 CHEVROLET,EQUINOX,LT Sport Utility 4D,"4-Cyl, 2.4 Liter",22 City / 32 Hwy,Beige,Gray,"Automatic, 6-Spd",4 Door SUV,1,"$12,590 ","96,818 miles"
2019 MAZDA,CX-5,Sport SUV 4D,"4-Cyl, SKYACTIV-G, 2.5 Liter",25 City / 31 Hwy,Blue,Black,"Automatic, 6-Spd SKYACTIV-Drive W/Manual & Sport Modes",4 Door SUV,2,"$20,990 ","9,599 miles"
2013 NISSAN,JUKE,NISMO Sport Utility 4D,"4-Cyl, Turbo, 1.6 Liter",25 City / 30 Hwy,White,Black,"Automatic, CVT W/S-Mode",4 Door SUV,1,"$15,990 ","36,818 miles"
2019 MAZDA,CX-3,Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.0 Liter",27 City / 32 Hwy,Blue,Black,"Auto, 6-Spd Manual Spt",4 Door SUV,2,"$20,990 ","21,232 miles"
2017 ALFA_ROMEO,GIULIA,Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",24 City / 33 Hwy,Blue,Black / Tan Interior Colors,"Automatic, 8-Spd",4 Door Sedan,2,"$23,990 "," 31,434 miles"
2018 JEEP,WRANGLER,All New Sport SUV 2D,"V6, VVT, 3.6 Liter",17 City / 25 Hwy,Red,Black,"Manual, 6-Spd",2 Door SUV,2,"$29,990 ","9,327 miles"
2019 TOYOTA,C-HR,LE Sport Utility 4D,"4-Cyl, 2.0 Liter",27 City / 31 Hwy,Gray,Black,"Automatic, CVTi-S",4 Door SUV,2,"$18,590 ","20,536 miles"
2014 MAZDA,CX-9,Touring Sport Utility 4D,"V6, 3.7 Liter",17 City / 24 Hwy,White,Sand,"Auto, 6-Spd W/Sptshft",4 Door SUV,2,"$14,990 ","62,141 miles"
2018 MERCEDES-BENZ,C-CLASS,C 300 Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",24 City / 33 Hwy,Black,Black,"Auto, 9-Spd 9G-Tronic",4 Door Sedan,2,"$29,990 "," 23,105 miles"
2013 TOYOTA,PRIUS,Four Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",51 City / 48 Hwy,White,Gray,"Automatic, CVT",4 Door Hatchback,2,"$12,590 ","101,939 miles"
2020 HYUNDAI,VENUE,SE Sport Utility 4D,"4-Cyl, 1.6 Liter",30 City / 34 Hwy,Black,Black,"Automatic, IVT W/Shiftronic",4 Door SUV,2,"$17,590 ","20,607 miles"
2015 AUDI,ALLROAD,Premium Wagon 4D,"4-Cyl, Turbo, 2.0 Liter",21 City / 28 Hwy,White,Black,"Auto, 8-Spd Tiptronic",4 Door Wagon,2,"$22,990 ","48,261 miles"
2012 MINI,COUNTRYMAN,Cooper S Hatchback 4D,"4-Cyl, Turbo, 1.6 Liter",25 City / 32 Hwy,Red,Red,"Auto, 6-Spd Steptronic",4 Door Hatchback,2,"$13,990 ","63,643 miles"
2016 BUICK,CASCADA,Premium Convertible 2D,"4-Cyl, Turbo, 1.6 Liter",20 City / 27 Hwy,White,Black,"Automatic, 6-Spd W/Overdrive",2 Door Convertible,2,"$23,590 ","13,010 miles"
2019 TOYOTA,COROLLA HATCHBACK,XSE Hatchback 4D,"4-Cyl, Dynamic-Force, 2.0 Liter",30 City / 38 Hwy,Blue,Black,"Automatic, CVTi-S W/Sport Sequential Shiftmatic Mode",4 Door Hatchback,1,"$19,590 ","20,877 miles"
2013 MAZDA,CX-5,Grand Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.0L",26 City / 32 Hwy,Blue,Black,"Auto, 6-Spd W/MM",4 Door SUV,2,"$16,990 ","59,189 miles"
2016 CHEVROLET,SILVERADO 1500 CREW CAB,LT Pickup 4D 5 3/4 ft ,"V8, EcoTec3, 5.3 Liter",16 City / 23 Hwy,White,Black,"Auto, 6-Spd HD Overdrive",4 Door Truck,2,"$30,990 "," 45,765 miles"
2019 MINI,COUNTRYMAN,Cooper S Hatchback 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 32 Hwy,Red,Black,"Automatic, 8-Spd Sport",4 Door Hatchback,2,"$28,990 ","26,896 miles"
2016 MERCEDES-BENZ,GLA,GLA 250 4MATIC Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",24 City / 32 Hwy,Gray,Beige,"Auto, 7-Spd Dual-Clutch",4 Door SUV,2,"$24,590 ","37,485 miles"
2015 CADILLAC,SRX,Luxury Collection Sport Utility 4D,"V6, 3.6 Liter",16 City / 23 Hwy,Black,Black,"Automatic, 6-Spd W/Overdrive & TAPshift",4 Door SUV,2,"$19,990 ","67,573 miles"
2018 MAZDA,MAZDA3,Sport Hatchback 4D,"4-Cyl, SKYACTIV-G, 2.0L",27 City / 37 Hwy,Gray,Black,"Manual, 6-Spd",4 Door Hatchback,2,"$15,990 ","25,710 miles"
2017 CHEVROLET,SPARK,LS Hatchback 4D,"4-Cyl, ECOTEC, 1.4L",30 City / 38 Hwy,Gray,Black,"Automatic, CVT",4 Door Hatchback,2,"$11,990 ","19,657 miles"
2017 FIAT,124 SPIDER,Classica Convertible 2D,"4-Cyl, MultiAir, 1.4T",26 City / 35 Hwy,Gray,Black,"Manual, 6-Spd",2 Door Convertible,1,"$20,590 ","10,784 miles"
2017 BMW,2 SERIES,230i Convertible 2D,"4-Cyl, SULEV, 2.0T",23 City / 34 Hwy,Gray,Leather Black/Red Hghlgt/Stitc,"Auto, 8-Spd Sport",2 Door Convertible,2,"$30,590 ","18,328 miles"
2014 CHEVROLET,IMPALA LIMITED,LS Sedan 4D,"V6, 3.6 Liter",18 City / 30 Hwy,Silver,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$13,990 ","43,233 miles"
2015 VOLKSWAGEN,GOLF,S Hatchback Sedan 4D,"4-Cyl, PZEV, 1.8T",25 City / 36 Hwy,Gray,Black,"Auto, 6-Spd Tiptronic",4 Door Sedan,2,"$13,990 ","52,334 miles"
2015 VOLKSWAGEN,GOLF,SE Hatchback Sedan 4D,"4-Cyl, PZEV, 1.8T",25 City / 36 Hwy,Silver,Black,"Auto, 6-Spd Tiptronic",4 Door Sedan,2,"$14,990 ","46,152 miles"
2015 HONDA,CIVIC,SE Sedan 4D,"4-Cyl, I-VTEC, 1.8 Liter",30 City / 39 Hwy,Silver,Black,"Automatic, CVT",4 Door Sedan,1,"$13,990 ","72,925 miles"
2016 DODGE,DURANGO,R/T Sport Utility 4D,"V8, HEMI, 5.7 Liter",14 City / 22 Hwy,Gray,Black,"Automatic, 8-Spd",4 Door SUV,2,"$27,590 ","54,178 miles"
2017 SUBARU,OUTBACK,2.5i Limited Wagon 4D,"4-Cyl, PZEV, 2.5 Liter",25 City / 32 Hwy,Red,Black,"Auto, CVT Manual",4 Door Wagon,2,"$21,990 ","42,700 miles"
2015 HONDA,CR-V,LX Sport Utility 4D,"4-Cyl, I-VTEC, 2.4 Liter",27 City / 34 Hwy,Silver,Gray,"Automatic, CVT",4 Door SUV,1,"$18,590 ","14,246 miles"
2019 RAM,1500 CLASSIC REGULAR CAB,Tradesman Pickup 2D 6 1/3 ft ,"V6, Flex Fuel, 3.6 Liter",17 City / 25 Hwy,Brown,Black/Diesel Gray Interior Colors,"Automatic, 8-Spd",2 Door Truck,2,"$22,990 "," 23,149 miles"
2015 JEEP,RENEGADE,Trailhawk Sport Utility 4D,"4-Cyl, MultiAir, 2.4L",21 City / 29 Hwy,White,Black,"Automatic, 9-Spd",4 Door SUV,2,"$16,990 ","71,682 miles"
2019 CHEVROLET,SONIC,LS Sedan 4D,"4-Cyl, ECOTEC, Turbo, 1.4 Liter",26 City / 34 Hwy,White,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$12,990 ","23,508 miles"
2012 TOYOTA,CAMRY,LE Sedan 4D,"4-Cyl, 2.5 Liter",25 City / 35 Hwy,Blue,Tan,"Automatic, 6-Spd",4 Door Sedan,1,"$14,990 ","26,937 miles"
2016 CHEVROLET,COLORADO CREW CAB,Z71 Pickup 4D 5 ft,"V6, VVT, 3.6 Liter",18 City / 26 Hwy,Brown,Black,"Automatic, 6-Spd",4 Door Truck,2,"$27,590 ","39,646 miles"
2013 TOYOTA,AVALON,XLE Touring Hybrid Sedan 4D,"4-Cyl, Hybrid, 2.5 Liter",40 City / 39 Hwy,White,Lt. Gray,"Automatic, CVT",4 Door Sedan,2,"$16,990 ","70,085 miles"
2018 FORD,FUSION,SE Sedan 4D,"4-Cyl, EcoBoost, Turbo, 1.5 Liter",23 City / 34 Hwy,Silver,Ebony,"Automatic, 6-Spd W/SelectShift",4 Door Sedan,1,"$16,990 ","24,981 miles"
2015 FORD,EXPLORER,Sport SUV 4D,"V6, EcoBoost, Twin Turbo, 3.5 Liter",16 City / 22 Hwy,Silver,Char Black Perf Leather,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$23,990 ","65,389 miles"
2017 SUBARU,FORESTER,2.5i Limited Sport Utility 4D,"4-Cyl, PZEV, 2.5 Liter",26 City / 32 Hwy,Silver,Black,"Auto, CVT Lineartronic",4 Door SUV,2,"$22,990 ","26,089 miles"
2018 KIA,SOUL,Wagon 4D,"4-Cyl, 1.6 Liter",25 City / 30 Hwy,Gray,Black,"Automatic, 6-Spd",4 Door Wagon,2,"$15,590 ","10,851 miles"
2019 ACURA,RDX,Sport Utility 4D,"4-Cyl, VTEC, Turbo, 2.0 Liter",22 City / 28 Hwy,White,Tan,"Automatic, 10-Spd W/Sequential SportShift",4 Door SUV,1,"$30,990 ","24,985 miles"
2014 NISSAN,FRONTIER CREW CAB,SV Pickup 4D 5 ft,"V6, 4.0 Liter",16 City / 22 Hwy,Black,Lt. Gray,"Automatic, 5-Spd",4 Door Truck,2,"$20,990 ","46,531 miles"
2017 NISSAN,ROGUE,SV Sport Utility 4D,"4-Cyl, 2.5 Liter",26 City / 33 Hwy,White,Black,"Auto, CVT Xtronic",4 Door SUV,2,"$16,990 ","11,021 miles"
2019 HYUNDAI,KONA,SEL Sport Utility 4D,"4-Cyl, 2.0 Liter",27 City / 33 Hwy,Gray,Black/Black,"Automatic, 6-Spd W/Shiftronic",4 Door SUV,1,"$17,990 ","27,489 miles"
2017 DODGE,GRAND CARAVAN PASSENGER,SXT Minivan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 25 Hwy,Black,Black,"Automatic, 6-Spd",4 Door Minivan,2,"$16,590 ","70,432 miles"
2015 TOYOTA,4RUNNER,SR5 Sport Utility 4D,"V6, 4.0 Liter",17 City / 22 Hwy,Black,Black,"Auto, 5-Spd SeqShft",4 Door SUV,2,"$28,590 ","45,017 miles"
2015 CHEVROLET,TRAX,LT Sport Utility 4D,"4-Cyl, Turbo, 1.4 Liter",26 City / 34 Hwy,White,Black,"Automatic, 6-Spd",4 Door SUV,2,"$12,990 ","71,582 miles"
2016 TOYOTA,COROLLA,S Plus Sedan 4D,"4-Cyl, 1.8 Liter",29 City / 38 Hwy,Gray,Black,"Automatic, CVTi-S",4 Door Sedan,2,"$13,990 ","65,048 miles"
2016 MERCEDES-BENZ,GLC,GLC 300 4MATIC Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",21 City / 28 Hwy,Red,Black,"Auto, 9-Spd Touch Shift",4 Door SUV,2,"$27,990 "," 37,941 miles"
2018 CHEVROLET,SONIC,LT Sedan 4D,"4-Cyl, ECOTEC, PZEV, 1.8 Liter",24 City / 34 Hwy,Blue,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$12,990 ","59,801 miles"
2018 MAZDA,MAZDA3,Touring Hatchback 4D,"4-Cyl, SKYACTIV-G, 2.5L",26 City / 35 Hwy,White,Black,"Auto, 6-Spd SKYACTIV-Drv",4 Door Hatchback,1,"$17,990 ","14,840 miles"
2018 CHEVROLET,SONIC,LT Sedan 4D,"4-Cyl, ECOTEC, PZEV, 1.8 Liter",24 City / 34 Hwy,Blue,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$12,990 ","59,801 miles"
2018 MAZDA,MAZDA3,Touring Hatchback 4D,"4-Cyl, SKYACTIV-G, 2.5L",26 City / 35 Hwy,White,Black,"Auto, 6-Spd SKYACTIV-Drv",4 Door Hatchback,1,"$17,990 ","14,840 miles"
2018 TOYOTA,C-HR,XLE Sport Utility 4D,"4-Cyl, 2.0 Liter",27 City / 31 Hwy,White,Black,"Automatic, CVTi-S",4 Door SUV,1,"$19,990 ","10,597 miles"
2018 JEEP,CHEROKEE,Latitude Sport Utility 4D,"4-Cyl, 2.4 Liter",21 City / 30 Hwy,White,Black,"Automatic, 9-Spd",4 Door SUV,1,"$18,990 ","23,736 miles"
2014 TOYOTA,PRIUS,Three Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",51 City / 48 Hwy,Blue,Gray,"Automatic, CVT",4 Door Hatchback,1,"$15,590 ","47,302 miles"
2013 VOLKSWAGEN,JETTA,2.0L TDI Sedan 4D,"4-Cyl, Turbo Diesel, 2.0 Liter",29 City / 37 Hwy,Gray,Black,Auto 6-Spd DSG Tptrnc Spt,4 Door Sedan,2,"$14,990 ","39,198 miles"
2018 SUBARU,LEGACY,2.5i Limited Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",25 City / 34 Hwy,Blue,Black,"Auto, CVT W/Manual Mode",4 Door Sedan,2,"$22,990 ","10,471 miles"
2012 HONDA,CIVIC,LX Coupe 2D,"4-Cyl, VTEC, 1.8 Liter",28 City / 39 Hwy,Red,Gray,"Automatic, 5-Spd",2 Door Coupe,1,"$11,590 ","89,399 miles"
2016 HONDA,HR-V,EX-L Sport Utility 4D,"4-Cyl, I-VTEC, 1.8 Liter",28 City / 35 Hwy,Black,Black,"Auto, CVT W/Sport Mode",4 Door SUV,2,"$18,990 ","26,006 miles"
2019 TOYOTA,C-HR,LE Sport Utility 4D,"4-Cyl, 2.0 Liter",27 City / 31 Hwy,Black,Black,"Automatic, CVTi-S",4 Door SUV,1,"$18,990 ","8,800 miles"
2019 BMW,4 SERIES,430i Gran Coupe Sedan 4D ,"4-Cyl, SULEV, 2.0T",24 City / 34 Hwy,White,Black,"Automatic, 8-Spd Sport",4 Door Sedan,2,"$32,990 "," 12,002 miles"
2018 MINI,HARDTOP 4 DOOR,Cooper Hatchback 4D,"3-Cyl, Turbo, 1.5 Liter",27 City / 35 Hwy,White,Black,"Auto, 6-Spd Steptronic",4 Door Hatchback,2,"$20,590 ","10,960 miles"
2015 ACURA,TLX,3.5 Sedan 4D,"V6, VTEC, 3.5 Liter",21 City / 34 Hwy,Black,Brown,"Auto, 9-Spd SportShift",4 Door Sedan,1,"$20,990 ","36,317 miles"
2016 CHRYSLER,200,Limited Platinum Sedan 4D,"4-Cyl, MultiAir PZEV 2.4L",23 City / 36 Hwy,Gray,Lt. Gray,"Automatic, 9-Spd",4 Door Sedan,2,"$13,590 ","70,799 miles"
2017 TOYOTA,CAMRY HYBRID,XLE Sedan 4D,"4-Cyl, Hybrid, 2.5 Liter",40 City / 37 Hwy,Blue,Gray,"Automatic, CVT",4 Door Sedan,1,"$20,990 ","27,179 miles"
2018 KIA,SPORTAGE,EX Sport Utility 4D,"4-Cyl, GDI, 2.4 Liter",21 City / 25 Hwy,Black,Black,"Automatic, 6-Spd W/Overdrive & Sportmatic",4 Door SUV,2,"$21,590 ","25,635 miles"
2016 MAZDA,CX-3,Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.0L",27 City / 32 Hwy,White,Black,"Auto, 6-Spd Spt Manual",4 Door SUV,2,"$16,990 ","36,329 miles"
2015 GMC,SIERRA 1500 CREW CAB,SLE Pickup 4D 5 3/4 ft ,"V6, EcoTec3, FF 4.3L",18 City / 24 Hwy,Brown,Lt. Brown,"Auto, 6-Spd HD Overdrive",4 Door Truck,2,"$31,590 "," 35,740 miles"
2019 TOYOTA,4RUNNER,SR5 Sport Utility 4D,"V6, 4.0 Liter",17 City / 21 Hwy,Black,Beige,"Automatic, 5-Spd W/Sequential Shift",4 Door SUV,2,"$34,990 ","17,052 miles"
2016 MAZDA,CX-5,Sport SUV 4D,"4-Cyl, SKYACTIV-G, 2.5L",26 City / 33 Hwy,Silver,Black,"Auto, 6-Spd Manual Spt",4 Door SUV,1,"$15,990 ","51,111 miles"
2018 ALFA_ROMEO,STELVIO,Ti Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 28 Hwy,White,Black/Black Interior Colors,"Automatic, 8-Spd",4 Door SUV,2,"$32,590 ","19,988 miles"
2011 NISSAN,JUKE,SV Sport Utility 4D,"4-Cyl, Turbo, 1.6 Liter",27 City / 32 Hwy,Black,Black,"Automatic, CVT",4 Door SUV,2,"$11,590 ","102,434 miles"
2016 SCION,IA,Sedan 4D,"4-Cyl, 1.5 Liter",33 City / 42 Hwy,Gray,Black,"Automatic, 6-Spd",4 Door Sedan,1,"$12,590 ","44,898 miles"
2015 NISSAN,FRONTIER CREW CAB,SV Pickup 4D 5 ft,"V6, 4.0 Liter",16 City / 22 Hwy,Gray,Lt. Gray,"Automatic, 5-Spd",4 Door Truck,2,"$21,590 ","19,411 miles"
2012 JEEP,WRANGLER,Unlimited Rubicon Sport Utility 4D,"V6, 3.6 Liter",16 City / 20 Hwy,Silver,Black,"Automatic, 5-Spd",4 Door SUV,2,"$32,990 ","34,293 miles"
2015 LEXUS,CT,CT 200h Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",43 City / 40 Hwy,Black,Beige,"Automatic, CVT",4 Door Hatchback,1,"$17,590 ","54,530 miles"
2017 JAGUAR,F-PACE,35t R-Sport SUV 4D,"V6, Sprchrgd, 3.0L",18 City / 23 Hwy,White,Black,"Auto, 8-Spd SeqShft Spt",4 Door SUV,2,"$34,990 ","67,513 miles"
2016 MAZDA,CX-9,Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.5T",22 City / 28 Hwy,White,Black,"Auto, 6-Spd Spt Manual",4 Door SUV,2,"$22,990 ","39,357 miles"
2015 MERCEDES-BENZ,C-CLASS,C 300 Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",25 City / 34 Hwy,White,Black,"Auto, 7-Spd 7G-Tronic +",4 Door Sedan,2,"$22,990 ","27,663 miles"
2013 CHEVROLET,EQUINOX,LTZ Sport Utility 4D,"4-Cyl, 2.4 Liter",20 City / 29 Hwy,Blue,Black,"Automatic, 6-Spd",4 Door SUV,2,"$13,590 ","90,829 miles"
2017 MAZDA,MAZDA3,Sport Hatchback 4D,"4-Cyl, SKYACTIV-G, 2.0L",28 City / 37 Hwy,Silver,Black,"Auto, 6-Spd SKYACTIV-Drv",4 Door Hatchback,2,"$16,990 ","12,376 miles"
2018 LEXUS,IS,IS 300 Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 32 Hwy,Gray,Black,"Automatic, 8-Spd",4 Door Sedan,2,"$29,990 ","10,099 miles"
2019 SUBARU,IMPREZA,2.0i Wagon 4D,"4-Cyl, 2.0 Liter",28 City / 36 Hwy,Black,Beige,"Automatic, CVT W/Lineartronic & Manual Modes",4 Door Wagon,2,"$18,990 ","10,101 miles"
2019 MINI,HARDTOP 2 DOOR,Cooper S Hatchback 2D,"4-Cyl, Turbo, 2.0 Liter",25 City / 32 Hwy,White,Black,"Automatic, 6-Spd Sport",2 Door Hatchback,2,"$26,990 ","8,088 miles"
2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Silver,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,990 ","31,359 miles"
2016 KIA,FORTE,EX Sedan 4D,"4-Cyl, GDI, 2.0 Liter",24 City / 35 Hwy,Red,Black,"Auto, 6-Spd W/Sportmatic & Active ECO System",4 Door Sedan,2,"$13,990 ","50,000 miles"
2016 MAZDA,MAZDA3,i Sport Sedan 4D,"4-Cyl, SKYACTIV-G, 2.0L",30 City / 41 Hwy,Blue,Black,"Auto, 6-Spd SKYACTIV-Drv",4 Door Sedan,2,"$14,990 ","26,634 miles"
2014 CADILLAC,SRX,Sport Utility 4D,"V6, 3.6 Liter",17 City / 24 Hwy,Black,Beige,"Auto, 6-Spd W/TAPshift",4 Door SUV,2,"$16,990 ","53,807 miles"
2015 FORD,MUSTANG,GT Premium Convertible 2D,"V8, 5.0 Liter",16 City / 25 Hwy,Red,Ebony Leather Seats,"Auto, 6-Spd SelectShift",2 Door Convertible,2,"$30,990 ","15,878 miles"
2014 MAZDA,MAZDA3,i Touring Hatchback 4D,"4-Cyl, SKYACTIV-G, 2.0L",29 City / 40 Hwy,Brown,Black,"Manual, 6-Spd SKYACTIV-MT",4 Door Hatchback,2,"$12,590 ","91,325 miles"
2015 TOYOTA,PRIUS,Two Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",51 City / 48 Hwy,Black,Gray,"Automatic, CVT",4 Door Hatchback,1,"$15,990 ","48,430 miles"
2017 TOYOTA,SIENNA,L Minivan 4D,"V6, 3.5 Liter",19 City / 27 Hwy,Gray,Gray,"Auto, 8-Spd W/Direct Shft",4 Door Minivan,2,"$22,990 ","22,463 miles"
2014 AUDI,A6,3.0T Premium Plus Sedan 4D,"V6, Supercharged, 3.0 Liter",18 City / 27 Hwy,Silver,Black,"Auto, 8-Spd Tiptronic",4 Door Sedan,2,"$22,990 ","47,282 miles"
2017 BMW,X1,xDrive28i Sport Utility 4D,"4-Cyl, Twin Turbo, 2.0L",22 City / 31 Hwy,Gray,Black,"Auto, 8-Spd Sport",4 Door SUV,2,"$30,590 ","8,472 miles"
2014 NISSAN,JUKE,SV Sport Utility 4D,"4-Cyl, Turbo, 1.6 Liter",27 City / 31 Hwy,Blue,Black,"Automatic, CVT W/S-Mode",4 Door SUV,2,"$14,590 ","52,859 miles"
2016 KIA,SOUL,+ Wagon 4D,"4-Cyl, 2.0 Liter",24 City / 31 Hwy,Blue,Other,"Auto, 6-Spd Sportmatic",4 Door Wagon,2,"$16,590 ","14,013 miles"
2017 MINI,COUNTRYMAN,Cooper S Hatchback 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 32 Hwy,Gray,Black,"Auto, 8-Spd Steptronic",4 Door Hatchback,1,"$23,990 ","31,306 miles"
2013 LAND_ROVER,RANGE ROVER EVOQUE,Pure Plus Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",20 City / 28 Hwy,White,Black,"Auto, 6-Spd W/CmdShft",4 Door SUV,2,"$25,990 ","18,716 miles"
2017 FIAT,124 SPIDER,Lusso Convertible 2D,"4-Cyl, MultiAir, 1.4T",25 City / 36 Hwy,Brown,Black,"Automatic, 6-Spd",2 Door Convertible,2,"$20,990 ","19,616 miles"
2017 MERCEDES-BENZ,C-CLASS,C 300 Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",24 City / 34 Hwy,White,Black,"Auto, 7-Spd 7G-Tronic +",4 Door Sedan,2,"$23,590 "," 45,233 miles"
2016 HONDA,HR-V,EX-L Sport Utility 4D,"4-Cyl, I-VTEC, 1.8 Liter",27 City / 32 Hwy,Blue,Gray,"Auto, CVT W/Sport Mode",4 Door SUV,2,"$18,990 ","23,885 miles"
2018 VOLKSWAGEN,PASSAT,2.0T SE Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",25 City / 36 Hwy,Gray,Black,"Auto, 6-Spd Tiptronic Spt",4 Door Sedan,2,"$17,990 ","31,534 miles"
2013 NISSAN,SENTRA,SL Sedan 4D,"4-Cyl, 1.8 Liter",30 City / 39 Hwy,White,Dk. Gray,"Automatic, CVT W/Xtronic",4 Door Sedan,2,"$11,990 ","12,686 miles"
2015 INFINITI,Q70,L 5.6 Sedan 4D,"V8, 5.6 Liter",16 City / 24 Hwy,Gray,Black,"Auto, 7-Spd Manual",4 Door Sedan,2,"$24,590 ","76,980 miles"
2018 AUDI,Q5,Premium Plus Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 27 Hwy,Blue,Beige,"Automatic, 7-Spd S Tronic Dual-Clutch",4 Door SUV,2,"$33,990 ","23,858 miles"
2015 FORD,FIESTA,Titanium Hatchback 4D,"4-Cyl, 1.6 Liter",27 City / 37 Hwy,White,Charcoal Black Leather Seat,"Auto, 6-Spd SelectShift",4 Door Hatchback,2,"$11,990 ","41,673 miles"
2014 JEEP,WRANGLER,Unlimited Freedom Edition Sport Utility 4D,"V6, 3.6 Liter",16 City / 21 Hwy,Blue,Black,"Manual, 6-Spd",4 Door SUV,2,"$25,990 ","84,987 miles"
2016 HONDA,CR-V,SE Sport Utility 4D,"4-Cyl, I-VTEC, 2.4 Liter",26 City / 33 Hwy,Blue,Gray,"Automatic, CVT",4 Door SUV,2,"$19,990 ","18,426 miles"
2017 JEEP,CHEROKEE,Limited Sport Utility 4D,"V6, 3.2 Liter",21 City / 29 Hwy,White,Black,"Automatic, 9-Spd",4 Door SUV,1,"$21,990 ","30,001 miles"
2015 BMW,3 SERIES,328i Sedan 4D,"4-Cyl, SULEV, Turbo, 2.0 Liter",23 City / 35 Hwy,White,Black,"Auto, 8-Spd Sport W/QS2",4 Door Sedan,2,"$19,590 ","44,553 miles"
2014 NISSAN,ROGUE,SL Sport Utility 4D,"4-Cyl, 2.5 Liter",26 City / 33 Hwy,White,Beige,"Automatic, CVT",4 Door SUV,2,"$15,590 ","56,292 miles"
2010 JEEP,WRANGLER,Sport SUV 2D,"V6, 3.8 Liter",15 City / 19 Hwy,Blue,Beige,"Manual, 6-Spd W/Overdrive",2 Door SUV,2,"$21,990 ","42,030 miles"
2017 JEEP,PATRIOT,Sport SUV 4D,"4-Cyl, 2.0 Liter",22 City / 26 Hwy,White,Dk. Gray,"Automatic, CVT",4 Door SUV,1,"$14,990 ","51,374 miles"
2016 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 33 Hwy,Black,Black,"Automatic, 6-Spd Tiptronic",4 Door Sedan,2,"$19,990 ","19,712 miles"
2018 KIA,NIRO,LX Wagon 4D,"4-Cyl, Hybrid, 1.6 Liter",51 City / 46 Hwy,White,Charcoal,"Automatic, 6-Spd W/Dual-Clutch & Sportmatic",4 Door Wagon,2,"$16,990 ","35,871 miles"
2017 NISSAN,ALTIMA,2.5 SV Sedan 4D,"4-Cyl, 2.5 Liter",27 City / 39 Hwy,Red,Beige,"Automatic, Xtronic CVT",4 Door Sedan,2,"$15,990 ","41,999 miles"
2017 AUDI,A3,Premium Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",26 City / 35 Hwy,Black,Brown,"Auto, 6-Spd S Tronic",4 Door Sedan,2,"$20,990 "," 26,434 miles"
